City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.54,70,32,16.04,scattered clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,90,0.0,overcast clouds
2,Severo-Kurilsk,RU,50.6789,156.125,42.71,92,100,5.41,overcast clouds
3,Narsaq,GL,60.9167,-46.05,35.82,67,4,4.03,clear sky
4,Lebu,CL,-37.6167,-73.65,58.12,75,6,15.97,clear sky
5,Hermanus,ZA,-34.4187,19.2345,72.81,89,100,8.81,light rain
6,High Level,CA,58.5169,-117.136,32.11,100,90,3.44,mist
7,Klamath Falls,US,42.2249,-121.7817,53.49,75,20,1.99,few clouds
8,Avarua,CK,-21.2078,-159.775,71.65,83,75,4.61,light rain
9,Georgetown,MY,5.4112,100.3354,81.9,90,40,3.0,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,73.29,78,83,6.44,broken clouds
11,Nanortalik,GL,60.1432,-45.2371,37.38,61,0,6.64,clear sky
12,Clyde River,CA,70.4692,-68.5914,34.03,86,75,10.36,broken clouds
13,Yellowknife,CA,62.456,-114.3525,39.42,100,90,3.44,light rain
14,Vakhrushev,RU,48.9833,142.9667,45.28,88,100,5.39,moderate rain
15,Presidente Epitacio,BR,-21.7633,-52.1156,87.73,51,95,3.36,overcast clouds
16,Lakselv,NO,70.0513,24.9718,29.75,86,20,8.05,few clouds
17,Ewo,CG,-0.8725,14.8206,72.73,94,92,2.73,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,74.71,67,20,2.51,few clouds
19,Ilulissat,GL,69.2167,-51.1,15.82,48,40,5.75,scattered clouds
20,Butaritari,KI,3.0707,172.7902,82.85,68,100,10.67,overcast clouds
21,Bluff,NZ,-46.6,168.3333,51.46,88,48,8.72,scattered clouds
22,Atar,MR,20.5169,-13.0499,78.35,50,74,13.89,broken clouds
23,Cabo San Lucas,MX,22.8909,-109.9124,86.5,58,1,1.99,clear sky
24,Douentza,ML,14.9951,-2.9517,94.37,11,3,6.17,clear sky
25,Hastings,GB,50.8552,0.5729,59.38,77,81,15.75,broken clouds
26,Thompson,CA,55.7435,-97.8558,41.16,100,90,3.44,mist
27,Ushuaia,AR,-54.8,-68.3,55.06,41,20,14.97,few clouds
28,Sorland,NO,67.667,12.6934,44.46,91,100,24.47,light rain
