City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,77.54,scattered clouds,-9.8,-139.0333,Villa Enata
4,Lebu,CL,58.12,clear sky,-37.6167,-73.65,Hostal Las Lilas
5,Hermanus,ZA,72.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Klamath Falls,US,53.49,few clouds,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
8,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
9,Georgetown,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
10,Rikitea,PF,73.29,broken clouds,-23.1203,-134.9692,People ThankYou
15,Presidente Epitacio,BR,87.73,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
17,Ewo,CG,72.73,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
18,Ponta Do Sol,PT,74.71,few clouds,32.6667,-17.1,Hotel do Campo
20,Butaritari,KI,82.85,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
21,Bluff,NZ,51.46,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Atar,MR,78.35,broken clouds,20.5169,-13.0499,Oumou Elghoura
23,Cabo San Lucas,MX,86.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
24,Douentza,ML,94.37,clear sky,14.9951,-2.9517,Ogomono Doumbo
25,Hastings,GB,59.38,broken clouds,50.8552,0.5729,Zanzibar Hotel
27,Ushuaia,AR,55.06,few clouds,-54.8,-68.3,Albatros Hotel
30,Isangel,VU,75.58,overcast clouds,-19.55,169.2667,Tanna Lodge
31,Punta Arenas,CL,55.51,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
32,Port Hardy,CA,50.0,broken clouds,50.6996,-127.4199,Airport Inn
33,Margate,GB,60.04,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
36,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
37,Chester,US,65.88,broken clouds,40.1254,-75.8749,"Holiday Inn Morgantown - Reading Area, an IHG Hotel"
38,Sampit,ID,75.58,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
39,Marawi,PH,64.65,overcast clouds,7.9986,124.2928,Derogongan Residence
40,Emerald,AU,73.54,scattered clouds,-23.5333,148.1667,The Irish Village
41,Port Alfred,ZA,67.1,overcast clouds,-33.5906,26.891,The Halyards Hotel
42,Machali,CL,76.28,clear sky,-34.1833,-70.6667,Mining House
43,Hithadhoo,MV,83.08,few clouds,-0.6,73.0833,Scoop Guest House
44,Wadi Musa,JO,61.88,clear sky,30.3222,35.4793,Petra Palace Hotel
46,Banes,CU,90.21,few clouds,20.9625,-75.7186,Hostal Iván y yailet
48,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
49,Allapalli,IN,67.39,clear sky,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
50,Gevrai,IN,72.18,few clouds,19.2667,75.75,Jaybhaye
53,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
54,Fortuna,US,63.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
55,Castro,BR,70.39,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
56,Naze,JP,66.87,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
58,Mount Gambier,AU,55.31,light intensity shower rain,-37.8333,140.7667,The Commodore
59,Bengkulu,ID,75.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
60,Cape Town,ZA,70.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
61,Ahipara,NZ,58.96,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
62,Chicama,PE,63.14,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
63,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
65,Antalaha,MG,71.49,clear sky,-14.9003,50.2788,Hotel Vitasoa
66,Ebolowa,CM,70.65,light rain,2.9,11.15,Florence Hotel Ebolowa
67,Bambous Virieux,MU,73.22,few clouds,-20.3428,57.7575,Casa Tia Villa
69,Jamestown,US,58.08,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
70,Huarmey,PE,70.84,scattered clouds,-10.0681,-78.1522,Hotel Miramar
72,Palmer,US,56.46,overcast clouds,42.1584,-72.3287,Wedgewood Motel
73,East London,ZA,67.14,broken clouds,-33.0153,27.9116,Tu Casa
75,Candolim,IN,77.49,clear sky,15.5181,73.7626,Resort Terra Paraiso
79,Carlos Chagas,BR,81.0,overcast clouds,-17.7031,-40.7664,Minas Hotel
80,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
81,Padang,ID,77.05,scattered clouds,-0.9492,100.3543,Mercure Padang
82,Hobart,AU,57.06,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
83,Shelburne,CA,56.3,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
85,Kapaa,US,72.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Sao Felix Do Xingu,BR,88.36,broken clouds,-6.6447,-51.995,Rio Xingu Camping
87,Kavaratti,IN,81.64,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
88,Cururupu,BR,87.22,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
89,Pasni,PK,78.22,clear sky,25.2631,63.471,Kashmiri Hotal
91,Qui Nhon,VN,77.36,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
92,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Carnarvon,AU,66.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
94,Manhattan Beach,US,80.31,clear sky,33.8847,-118.4109,Shade Hotel Manhattan Beach
95,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
97,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
98,Ribeira Grande,PT,68.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
99,Kiama,AU,58.48,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
102,Winnemucca,US,54.1,clear sky,40.973,-117.7357,Winners Inn Casino
103,Biak,ID,76.82,few clouds,-0.9131,122.8766,Penginapan Kim
107,Constitucion,CL,63.48,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
108,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
111,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,Namatanai,PG,80.02,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
114,Dali,CN,54.79,few clouds,25.7,100.1833,Dali Travelling With Hostel
115,Siyabuswa,ZA,71.46,broken clouds,-25.1132,29.0445,Uluju properties
117,Porto Velho,BR,86.05,light rain,-8.7619,-63.9039,Hotel Central
118,Mtwara,TZ,76.95,scattered clouds,-10.2667,40.1833,TIL Hotels Mtwara
121,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
122,Camargo,MX,72.91,clear sky,27.6667,-105.1667,Hotel Santa Fe
123,Douglas,US,55.15,moderate rain,41.3,-96.167,Hilton Garden Inn Omaha West
124,Campos Belos,BR,95.11,few clouds,-13.0367,-46.7717,Pousada Carnaúba
125,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
127,Oriximina,BR,90.82,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
128,Lahaina,US,77.81,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
129,Alofi,NU,73.29,broken clouds,-19.0595,-169.9187,Taloa Heights
130,Airai,TL,62.11,overcast clouds,-8.9266,125.4092,Juvinal Martin
131,Paragominas,BR,87.49,broken clouds,-2.9667,-47.4833,INOVA
132,Labuhan,ID,80.44,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
133,Curup,ID,67.08,overcast clouds,-3.4667,102.5333,Ayi The Costel
134,Buraydah,SA,81.05,overcast clouds,26.326,43.975,فندق راحة السلام
135,Bethel,US,58.73,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
140,Faanui,PF,78.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
141,Kavieng,PG,80.91,moderate rain,-2.5744,150.7967,Nusa Island Retreat
142,San Carlos De Bariloche,AR,74.44,clear sky,-41.1456,-71.3082,Hotel Patagonia
143,Port Elizabeth,ZA,67.1,thunderstorm with light rain,-33.918,25.5701,39 On Nile Guest House
145,Nemuro,JP,54.14,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
148,Yulara,AU,76.84,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
150,Inhambane,MZ,75.18,light rain,-23.865,35.3833,Oceano
151,Goroka,PG,58.3,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
152,Woodward,US,58.23,overcast clouds,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
153,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
154,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
156,Sao Joao Da Barra,BR,82.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
161,Culaman,PH,79.34,overcast clouds,5.9603,125.6586,Jasmin Ex House
162,Saldanha,ZA,62.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
163,Mathathane,BW,73.26,broken clouds,-22.2687,28.7495,Selepswe Resort
165,Bredasdorp,ZA,72.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
168,Inirida,CO,81.54,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
171,Sao Francisco,BR,91.51,clear sky,-15.9486,-44.8644,Hotel Supremo
174,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
176,Hasaki,JP,57.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
178,Lorengau,PG,81.37,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
