City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-10-26 19:04:41,-9.8,-139.0333,77.25,67,6,15.57
1,Bahawalpur,PK,2021-10-26 19:00:15,29.4,71.6833,75.09,32,1,7.38
2,Albany,US,2021-10-26 19:00:24,42.6001,-73.9662,56.23,94,100,1.01
3,Sosva,RU,2021-10-26 19:04:41,59.1766,61.8558,24.55,85,74,3.89
4,Vao,NC,2021-10-26 19:04:41,-22.6667,167.4833,71.87,85,100,14.03
5,Rio Grande,BR,2021-10-26 19:04:42,-32.035,-52.0986,87.91,58,0,7.2
6,Atar,MR,2021-10-26 19:04:42,20.5169,-13.0499,90.09,24,21,10.36
7,Port Alfred,ZA,2021-10-26 19:04:42,-33.5906,26.891,66.51,83,79,29.57
8,Punta Arenas,CL,2021-10-26 19:04:43,-53.15,-70.9167,51.91,58,0,39.12
9,Jamestown,US,2021-10-26 19:03:52,42.097,-79.2353,44.19,99,90,8.99
10,Provideniya,RU,2021-10-26 19:04:43,64.3833,-173.3,15.26,83,99,5.46
11,Hovd,MN,2021-10-26 19:04:43,48.0056,91.6419,35.55,42,0,3.33
12,Belaya Gora,RU,2021-10-26 19:04:43,68.5333,146.4167,-9.24,100,60,2.26
13,Mar Del Plata,AR,2021-10-26 19:01:44,-38.0023,-57.5575,73.17,48,0,8.23
14,Rikitea,PF,2021-10-26 19:04:44,-23.1203,-134.9692,74.71,80,100,19.33
15,Avarua,CK,2021-10-26 19:04:44,-21.2078,-159.775,75.25,69,96,12.66
16,Ratnagiri,IN,2021-10-26 19:04:45,16.9833,73.3,76.33,79,3,6.82
17,Virginia Beach,US,2021-10-26 19:03:28,36.8529,-75.978,71.02,63,36,3.0
18,Tasiilaq,GL,2021-10-26 19:02:19,65.6145,-37.6368,33.48,83,100,4.07
19,Kinkala,CG,2021-10-26 19:04:45,-4.3614,14.7644,76.78,77,100,3.67
20,Cape Town,ZA,2021-10-26 19:00:56,-33.9258,18.4232,71.28,59,100,4.0
21,Ponta Do Sol,PT,2021-10-26 19:04:46,32.6667,-17.1,70.72,67,9,3.96
22,Tessalit,ML,2021-10-26 19:04:46,20.1986,1.0114,88.18,15,17,8.08
23,Kloulklubed,PW,2021-10-26 19:04:46,7.0419,134.2556,83.64,69,13,7.47
